City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,66.99,95,98,9.89,overcast clouds
1,Jamestown,US,42.097,-79.2353,15.01,73,90,14.97,light snow
2,College,US,64.8569,-147.8028,-9.0,76,20,2.35,few clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,75,12.66,light rain
4,Carnarvon,AU,-24.8667,113.6333,75.2,100,40,10.36,scattered clouds
5,Albany,US,42.6001,-73.9662,30.0,72,100,10.13,light snow
6,Clyde River,CA,70.4692,-68.5914,-4.0,92,75,20.71,light snow
7,Faanui,PF,-16.4833,-151.75,81.1,77,2,13.0,clear sky
8,Mataura,NZ,-46.1927,168.8643,67.14,50,98,3.09,overcast clouds
9,Thompson,CA,55.7435,-97.8558,-25.6,68,75,17.27,snow
10,Katsuura,JP,35.1333,140.3,42.8,49,20,9.22,few clouds
11,Toamasina,MG,-18.1667,49.3833,77.0,88,40,3.44,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,73.4,21,0,14.97,clear sky
13,Talnakh,RU,69.4865,88.3972,-19.95,75,19,2.59,few clouds
14,Torbay,CA,47.6666,-52.7314,30.99,69,20,28.77,few clouds
15,Atambua,ID,-9.1061,124.8925,74.55,89,100,2.84,overcast clouds
16,Portales,US,34.1862,-103.3344,72.0,6,1,17.27,clear sky
17,Ushuaia,AR,-54.8,-68.3,62.6,55,75,6.91,broken clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,88,75,6.91,broken clouds
19,Busselton,AU,-33.65,115.3333,62.01,99,84,1.01,broken clouds
20,Hilo,US,19.7297,-155.09,78.8,50,1,3.44,clear sky
21,Argentan,FR,48.75,-0.0167,35.6,75,90,11.5,light rain
22,Bluff,NZ,-46.6,168.3333,60.21,71,99,4.21,light rain
23,Ribeira Grande,PT,38.5167,-28.7,59.0,77,40,11.5,scattered clouds
24,Castro,BR,-24.7911,-50.0119,63.61,75,0,3.09,clear sky
25,Rikitea,PF,-23.1203,-134.9692,77.65,72,97,13.13,overcast clouds
26,Ushibuka,JP,32.1906,130.0228,52.77,60,61,20.29,broken clouds
27,Tasiilaq,GL,65.6145,-37.6368,26.6,50,0,14.97,clear sky
28,Kouango,CF,4.9934,19.9619,70.52,23,92,1.28,overcast clouds
29,Ceahlau,RO,47.05,25.9667,30.99,48,100,2.3,overcast clouds
30,Airai,TL,-8.9266,125.4092,60.93,100,100,2.46,overcast clouds
31,Kapaa,US,22.0752,-159.319,75.99,56,1,3.44,clear sky
32,Chuy,UY,-33.6971,-53.4616,69.1,72,32,10.38,scattered clouds
33,Vizinga,RU,61.0749,50.1031,-19.39,85,100,9.51,overcast clouds
34,Provideniya,RU,64.3833,-173.3,-2.51,81,61,17.43,broken clouds
35,Kavieng,PG,-2.5744,150.7967,83.95,74,63,9.46,broken clouds
36,Saskylakh,RU,71.9167,114.0833,-37.14,78,30,13.58,scattered clouds
37,Vaini,TO,-21.2,-175.2,78.8,89,75,13.8,moderate rain
38,Padang,ID,-0.9492,100.3543,75.2,88,20,3.44,light rain
39,Cidreira,BR,-30.1811,-50.2056,72.41,69,0,8.93,clear sky
40,Tautira,PF,-17.7333,-149.15,86.0,58,20,4.61,few clouds
41,Boguchany,RU,58.3814,97.4531,28.87,96,71,7.87,broken clouds
42,Hithadhoo,MV,-0.6,73.0833,81.73,70,56,6.64,broken clouds
43,Atuona,PF,-9.8,-139.0333,79.63,74,24,20.87,few clouds
44,Malazgirt,TR,39.1427,42.5401,19.42,86,16,0.4,few clouds
45,Zaoyang,CN,32.1272,112.7542,42.03,63,100,10.54,overcast clouds
46,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.85,92,100,4.09,overcast clouds
47,Butaritari,KI,3.0707,172.7902,81.28,80,93,19.15,overcast clouds
48,Skjervoy,NO,70.0311,20.9714,29.05,91,100,17.05,light snow
49,Victoria,HK,22.2855,114.1577,66.99,78,0,1.01,clear sky
50,Gamba,GA,-2.65,10.0,78.66,85,100,4.29,overcast clouds
51,Tres Arroyos,AR,-38.3739,-60.2798,59.09,74,99,16.71,overcast clouds
52,Tessalit,ML,20.1986,1.0114,63.45,27,100,9.93,overcast clouds
53,Bengkulu,ID,-3.8004,102.2655,75.2,82,90,5.37,overcast clouds
54,Carutapera,BR,-1.195,-46.02,77.29,90,2,7.07,clear sky
55,Avarua,CK,-21.2078,-159.775,84.2,79,40,13.8,scattered clouds
56,Ancud,CL,-41.8697,-73.8203,75.0,42,0,5.99,clear sky
57,Chapais,CA,49.7834,-74.8492,15.8,79,90,5.75,light snow
58,Hermanus,ZA,-34.4187,19.2345,64.99,79,3,3.6,clear sky
59,Esperance,AU,-33.8667,121.9,62.6,88,19,11.5,few clouds
60,Lakes Entrance,AU,-37.8811,147.981,61.0,63,17,1.99,few clouds
61,Georgetown,MY,5.4112,100.3354,80.6,83,20,1.14,few clouds
62,Kahului,US,20.8947,-156.47,77.0,53,20,8.05,few clouds
63,Ilulissat,GL,69.2167,-51.1,24.8,39,0,5.75,clear sky
64,Northam,GB,51.0333,-4.2167,35.01,72,25,15.01,scattered clouds
65,Narsaq,GL,60.9167,-46.05,35.6,30,66,44.87,broken clouds
66,Necochea,AR,-38.5473,-58.7368,60.01,78,100,17.11,overcast clouds
67,Fayaoue,NC,-20.65,166.5333,80.02,69,79,3.8,broken clouds
68,Dhidhdhoo,MV,6.8833,73.1,80.89,71,45,6.6,scattered clouds
69,Labuhan,ID,-6.8844,112.2051,78.49,85,100,11.39,overcast clouds
70,Lafia,NG,8.4833,8.5167,80.24,16,83,3.4,broken clouds
71,Kyren,RU,51.6828,102.1408,15.46,80,45,2.39,scattered clouds
72,Oranjemund,NA,-28.55,16.4333,63.1,78,0,19.95,clear sky
73,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,72,0,4.61,clear sky
74,Burnie,AU,-41.0667,145.9167,55.99,69,97,6.02,overcast clouds
75,Faya,SA,18.3851,42.4509,57.2,44,0,11.5,clear sky
76,East London,ZA,-33.0153,27.9116,72.66,80,83,7.52,light rain
77,San Borja,BO,-14.8167,-66.85,83.61,79,99,3.24,overcast clouds
78,Norman Wells,CA,65.282,-126.8329,-20.2,69,40,3.44,scattered clouds
79,Komsomolskiy,UZ,40.4272,71.7189,41.0,81,99,6.91,mist
80,Upernavik,GL,72.7868,-56.1549,18.21,79,2,3.24,clear sky
81,Toora-Khem,RU,52.4675,96.11,4.14,91,78,0.98,broken clouds
82,Mwene-Ditu,CD,-7.0,23.45,65.93,94,100,2.77,overcast clouds
83,Bubaque,GW,11.2833,-15.8333,77.61,67,14,12.73,few clouds
84,Saint Anthony,US,45.0205,-93.218,-2.2,42,1,5.66,clear sky
85,Tabou,CI,4.423,-7.3528,79.38,87,71,7.27,broken clouds
86,Vilhena,BR,-12.7406,-60.1458,84.2,65,40,5.75,scattered clouds
87,Kodiak,US,57.79,-152.4072,30.2,64,1,3.44,clear sky
88,Mattru,SL,7.6244,-11.8332,77.92,84,24,3.49,few clouds
89,Qaanaaq,GL,77.484,-69.3632,13.08,85,65,6.93,broken clouds
90,Rio Gallegos,AR,-51.6226,-69.2181,68.0,40,0,23.02,clear sky
91,Hamilton,US,39.1834,-84.5333,24.8,30,75,11.5,broken clouds
92,Hobart,AU,-42.8794,147.3294,57.99,54,40,12.66,light rain
93,Jacareacanga,BR,-6.2222,-57.7528,76.8,94,100,2.75,overcast clouds
94,Viru,PE,-8.4167,-78.75,73.4,83,0,9.22,clear sky
95,Lebu,CL,-37.6167,-73.65,61.61,83,10,4.7,clear sky
96,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,77,40,15.26,scattered clouds
97,Bethel,US,41.3712,-73.414,30.0,93,90,5.75,light snow
98,Belaya Gora,RU,68.5333,146.4167,-26.16,83,94,3.89,overcast clouds
99,Souillac,MU,-20.5167,57.5167,80.6,78,40,10.36,scattered clouds
100,Balkhash,KZ,46.844,74.9804,28.4,99,84,10.6,broken clouds
101,Mmabatho,ZA,-25.85,25.6333,66.2,94,24,4.61,few clouds
102,Filingue,NE,14.3521,3.3168,80.4,16,92,8.46,overcast clouds
103,Gillette,US,44.2911,-105.5022,0.0,71,20,11.5,few clouds
104,Maldonado,UY,-34.6667,-54.9167,75.2,69,40,13.8,scattered clouds
105,Kemijarvi,FI,66.7131,27.4306,9.09,94,27,7.07,scattered clouds
106,Kudat,MY,6.8837,116.8477,78.8,94,20,2.3,few clouds
107,Belle Fourche,US,44.6714,-103.8522,3.0,71,40,5.75,scattered clouds
108,Vanimo,PG,-2.6741,141.3028,78.31,83,100,4.59,overcast clouds
109,Mayumba,GA,-3.432,10.6554,79.18,85,100,5.19,light rain
110,Taoudenni,ML,22.6783,-3.9836,61.03,31,0,7.36,clear sky
111,Alta Floresta,BR,-9.8756,-56.0861,72.95,94,100,1.97,overcast clouds
112,Bredasdorp,ZA,-34.5322,20.0403,64.4,68,5,5.75,clear sky
113,New Norfolk,AU,-42.7826,147.0587,57.0,66,50,1.99,scattered clouds
114,Mahibadhoo,MV,3.7833,72.9667,80.89,77,6,14.12,clear sky
115,Havre,FR,49.5833,0.3333,33.8,75,90,16.11,light snow
116,Dikson,RU,73.5069,80.5464,-32.1,85,90,16.71,overcast clouds
117,Sitka,US,57.0531,-135.33,35.6,32,1,0.87,clear sky
118,Chagoda,RU,59.164,35.3285,-2.99,91,100,2.13,overcast clouds
119,Lagoa,PT,39.05,-27.9833,57.85,76,97,18.97,overcast clouds
120,Bone,DE,51.9669,12.1396,21.0,92,100,5.99,overcast clouds
121,Townsville,AU,-19.25,146.8,84.2,89,20,5.75,few clouds
122,Peniche,PT,39.3558,-9.3811,57.99,92,93,21.0,light rain
123,Port Elizabeth,ZA,-33.918,25.5701,66.2,94,90,11.5,overcast clouds
124,Aksarka,RU,66.5606,67.7975,-16.6,88,100,29.53,light snow
125,Jaroslaw,PL,50.0162,22.6778,19.99,98,100,19.73,snow
126,Ponta Delgada,PT,37.7333,-25.6667,57.2,77,20,6.91,few clouds
127,Berlevag,NO,70.8578,29.0864,26.6,74,75,25.32,snow
128,Sao Filipe,CV,14.8961,-24.4956,69.8,73,100,12.53,overcast clouds
129,Mubi,NG,10.2676,13.2644,70.45,22,57,2.39,broken clouds
130,Mecca,SA,21.4267,39.8261,72.27,25,0,14.18,clear sky
131,Kiunga,PG,-6.1219,141.2906,75.4,97,100,1.88,overcast clouds
132,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,14.97,clear sky
133,Sola,VU,-13.8833,167.55,81.21,73,100,6.58,overcast clouds
134,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,80,75,4.47,light snow
135,Grindavik,IS,63.8424,-22.4338,33.8,64,0,13.8,clear sky
136,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,75,4.61,light rain
137,Mount Isa,AU,-20.7333,139.5,77.0,100,100,5.75,overcast clouds
138,Cayenne,GF,4.9333,-52.3333,80.6,83,75,13.8,broken clouds
139,Ereymentau,KZ,51.6199,73.1033,16.93,95,45,13.67,scattered clouds
140,Fortuna,US,40.5982,-124.1573,55.0,81,1,11.5,clear sky
141,Batagay,RU,67.6333,134.6333,-33.2,83,28,1.79,scattered clouds
142,Itoman,JP,26.1247,127.6694,62.6,67,20,6.91,few clouds
143,Caravelas,BR,-17.7125,-39.2481,76.6,90,100,7.76,moderate rain
144,Dunedin,NZ,-45.8742,170.5036,61.0,88,89,1.01,overcast clouds
145,Hofn,IS,64.2539,-15.2082,36.18,90,100,17.36,overcast clouds
146,Leningradskiy,RU,69.3833,178.4167,-14.66,82,0,7.34,clear sky
147,Coquimbo,CL,-29.9533,-71.3436,68.0,56,0,13.8,clear sky
148,Muros,ES,42.7762,-9.0603,54.0,89,100,1.01,light rain
149,Bintulu,MY,3.1667,113.0333,75.2,100,40,3.44,light rain
150,Pare,ID,-7.7679,112.198,73.8,91,98,4.09,light rain
151,Puro,PH,12.4841,123.3827,78.28,83,94,16.93,light rain
152,Yellowknife,CA,62.456,-114.3525,-31.0,68,1,6.91,clear sky
153,Barrow,US,71.2906,-156.7887,-25.6,68,20,9.22,few clouds
154,Tongling,CN,30.95,117.7833,45.97,79,100,14.54,light rain
155,Nikolskoye,RU,59.7035,30.7861,17.6,86,75,13.42,light snow
156,Luderitz,NA,-26.6481,15.1594,68.94,56,0,29.44,clear sky
157,Codrington,AU,-38.2667,141.9667,57.81,68,100,11.7,overcast clouds
158,Hovd,MN,48.0056,91.6419,12.42,87,100,0.69,overcast clouds
159,Pemberton,CA,50.3164,-122.8027,35.6,69,75,1.32,broken clouds
160,Pondicherry,IN,11.93,79.83,71.2,79,97,9.86,overcast clouds
161,Anadyr,RU,64.75,177.4833,10.4,52,100,6.71,snow
162,Rincon,US,32.296,-81.2354,51.8,66,90,12.66,overcast clouds
163,Ponta Do Sol,PT,32.6667,-17.1,59.0,70,40,5.01,scattered clouds
164,Najran,SA,17.4924,44.1277,62.6,42,55,2.3,broken clouds
165,Verkhnevilyuysk,RU,63.4453,120.3167,-9.44,87,100,9.01,overcast clouds
166,Kismayo,SO,-0.3582,42.5454,77.14,80,0,16.89,clear sky
167,Arman,RU,59.7,150.1667,11.73,85,100,16.91,overcast clouds
168,Mananjary,MG,-21.2167,48.3333,79.21,87,100,11.79,light rain
169,Bayir,TR,37.2687,28.2167,60.8,67,75,19.57,broken clouds
170,Beringovskiy,RU,63.05,179.3167,2.08,90,100,16.13,overcast clouds
171,Pushkino,RU,56.0172,37.8667,6.8,72,40,11.18,scattered clouds
172,Cape Town,ZA,-33.9258,18.4232,68.0,68,0,18.41,clear sky
173,Sistranda,NO,63.7256,8.834,21.2,86,20,12.66,few clouds
174,Goderich,CA,43.7501,-81.7165,10.4,67,100,13.8,overcast clouds
175,Paracale,PH,14.2804,122.7881,76.73,90,100,11.03,overcast clouds
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.6,100,90,4.61,moderate rain
177,Sinnamary,GF,5.3833,-52.95,78.21,84,100,14.79,overcast clouds
178,Prince Rupert,CA,54.3161,-130.3201,33.8,60,1,13.8,clear sky
179,Baiyin,CN,36.5583,104.2081,27.0,38,0,6.71,clear sky
180,Nome,US,64.5011,-165.4064,-2.0,84,1,3.13,clear sky
181,Pevek,RU,69.7008,170.3133,-7.08,85,0,1.41,clear sky
182,Longyearbyen,SJ,78.2186,15.6401,7.57,85,73,8.66,broken clouds
183,Kruisfontein,ZA,-34.0033,24.7314,64.99,91,98,1.01,overcast clouds
184,Nabire,ID,-3.3667,135.4833,76.75,79,78,2.55,broken clouds
185,Ilfracombe,GB,51.2093,-4.1134,37.0,72,68,15.01,broken clouds
186,Ishigaki,JP,24.3448,124.1572,68.0,77,20,12.66,few clouds
187,Valparaiso,CL,-33.0393,-71.6273,68.0,63,0,11.5,clear sky
188,Palora,EC,-1.7,-77.9333,78.8,65,40,5.75,light rain
189,Bonavista,CA,48.6499,-53.1147,30.99,64,0,10.36,clear sky
190,Tacna,PE,-18.0056,-70.2483,75.2,57,0,14.97,clear sky
191,Tiksi,RU,71.6872,128.8694,-28.37,86,37,5.44,scattered clouds
192,Lingao,CN,19.9103,109.6859,67.57,90,97,7.61,overcast clouds
193,Takoradi,GH,4.8845,-1.7554,80.28,86,75,10.65,broken clouds
194,Estelle,US,29.8458,-90.1067,60.01,63,1,6.06,clear sky
195,North Myrtle Beach,US,33.816,-78.68,50.0,71,40,10.36,scattered clouds
196,Hasaki,JP,35.7333,140.8333,32.0,86,75,1.14,light snow
197,Hambantota,LK,6.1241,81.1185,76.78,81,14,15.52,few clouds
198,Astorga,BR,-23.2325,-51.6656,84.2,51,20,5.75,few clouds
199,The Pas,CA,53.8251,-101.2541,-25.6,51,1,16.11,clear sky
200,Bardiyah,LY,31.7561,25.0865,65.37,44,99,16.8,overcast clouds
201,Oranjestad,AW,12.524,-70.027,82.4,69,40,20.71,scattered clouds
202,Khatanga,RU,71.9667,102.5,-29.72,79,0,10.65,clear sky
203,Bonthe,SL,7.5264,-12.505,79.56,83,31,7.4,scattered clouds
204,Visby,SE,57.6409,18.296,17.6,100,66,3.44,broken clouds
205,Sao Desiderio,BR,-12.3633,-44.9733,68.97,92,100,2.75,overcast clouds
206,Saint George,US,37.1041,-113.5841,62.01,22,1,3.51,clear sky
207,Half Moon Bay,US,37.4636,-122.4286,64.99,77,1,11.5,haze
208,Ixtapa,MX,20.7,-105.2,75.2,73,20,11.5,few clouds
209,Ulladulla,AU,-35.35,150.4667,64.99,77,75,8.05,broken clouds
210,Lompoc,US,34.6391,-120.4579,64.99,67,1,12.66,clear sky
211,Kuybysheve,UA,47.358,36.6491,23.02,75,100,7.83,light snow
212,Colares,PT,38.7992,-9.4469,57.99,98,95,23.0,light rain
213,Kanker,IN,20.2719,81.4931,53.37,41,54,1.77,broken clouds
214,Tual,ID,-5.6667,132.75,83.52,78,100,18.7,overcast clouds
215,Maniitsoq,GL,65.4167,-52.9,26.02,80,0,19.28,clear sky
216,Muramvya,BI,-3.2682,29.6079,59.83,96,100,1.05,light rain
217,Ranapur,IN,22.65,74.5333,60.42,32,0,8.14,clear sky
218,Shelburne,CA,44.0787,-80.2041,15.01,83,96,11.14,overcast clouds
219,Seaside,US,36.6111,-121.8516,57.99,76,20,8.05,few clouds
220,Waipawa,NZ,-41.4122,175.5153,70.0,73,75,19.57,broken clouds
221,Kashi,CN,39.4547,75.9797,35.6,48,35,6.71,scattered clouds
222,Aklavik,CA,68.2191,-135.0107,-20.2,76,100,12.66,overcast clouds
223,Farmington,US,36.7281,-108.2187,54.0,16,1,12.66,clear sky
224,Namibe,AO,-15.1961,12.1522,73.0,75,100,4.52,overcast clouds
225,Muisne,EC,0.6,-80.0333,84.2,84,75,5.75,light rain
226,Manzhouli,CN,49.6,117.4333,-11.22,82,0,2.93,clear sky
227,Yar-Sale,RU,66.8333,70.8333,-11.16,89,100,23.49,light snow
228,Ayagoz,KZ,47.9714,80.4392,28.85,97,100,5.35,overcast clouds
229,Cherskiy,RU,68.75,161.3,-3.68,67,6,1.99,clear sky
230,Haines Junction,CA,60.7522,-137.5108,-13.0,53,18,1.14,few clouds
231,Darnah,LY,32.767,22.6367,65.79,40,100,29.51,overcast clouds
232,Tuatapere,NZ,-46.1333,167.6833,64.15,62,100,6.67,light rain
233,Iqaluit,CA,63.7506,-68.5145,30.2,69,90,18.41,light snow
234,Umm Lajj,SA,25.0213,37.2685,71.62,31,0,22.79,clear sky
235,Lohja,FI,60.2486,24.0653,19.99,92,19,5.21,few clouds
236,Hokitika,NZ,-42.7167,170.9667,65.86,65,32,4.94,scattered clouds
237,Camana,PE,-16.6228,-72.7111,74.05,73,92,4.45,overcast clouds
238,Marzuq,YE,14.4,46.4667,60.55,59,0,4.09,clear sky
239,Wajima,JP,37.4,136.9,31.87,94,100,15.46,light snow
240,Bambanglipuro,ID,-7.95,110.2833,75.52,88,90,4.76,light rain
241,Hermiston,US,45.8404,-119.2895,52.0,40,40,18.41,scattered clouds
242,Vila Velha,BR,-20.3297,-40.2925,71.6,94,90,4.61,overcast clouds
243,Kaitangata,NZ,-46.2817,169.8464,68.0,65,100,4.0,overcast clouds
244,Kadhan,PK,24.481,68.9859,62.35,31,0,7.43,clear sky
245,Vadlapudi,IN,14.3167,79.8,66.27,85,100,2.62,overcast clouds
246,Lazaro Cardenas,MX,17.9583,-102.2,80.69,61,0,8.08,clear sky
247,Itarema,BR,-2.9248,-39.9167,80.47,78,0,13.62,clear sky
248,Alofi,NU,-19.0595,-169.9187,84.2,74,40,12.66,scattered clouds
249,Kenai,US,60.5544,-151.2583,14.0,78,1,6.91,clear sky
250,Cam Ranh,VN,11.9214,109.1591,75.2,78,20,10.36,few clouds
251,Matadi,CD,-5.8167,13.45,77.45,90,100,3.87,light rain
252,Zaysan,KZ,47.4667,84.8667,20.53,89,68,0.87,broken clouds
253,Mar Del Plata,AR,-38.0023,-57.5575,62.01,88,90,18.41,overcast clouds
254,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,75,17.27,snow
255,Geraldton,AU,-28.7667,114.6,68.0,88,75,2.3,broken clouds
256,Khandyga,RU,62.6667,135.6,-33.95,83,76,2.42,broken clouds
257,Shubarkuduk,KZ,49.1447,56.4872,-4.61,90,63,11.36,broken clouds
258,Kokstad,ZA,-30.5472,29.4241,64.13,93,95,2.46,light rain
259,Severo-Kurilsk,RU,50.6789,156.125,18.21,88,97,9.24,overcast clouds
260,Were Ilu,ET,10.6,39.4333,49.8,82,68,6.6,broken clouds
261,Saint-Pierre,RE,-21.3393,55.4781,80.6,69,75,4.61,broken clouds
262,Portland,US,45.5234,-122.6762,48.0,66,75,11.5,broken clouds
263,Ballina,AU,-28.8667,153.5667,77.0,65,40,12.66,scattered clouds
264,Seoul,KR,37.5683,126.9778,24.8,50,0,9.22,clear sky
265,Te Anau,NZ,-45.4167,167.7167,62.24,65,100,3.33,moderate rain
266,Awjilah,LY,29.1081,21.2869,67.26,25,100,15.88,overcast clouds
267,Port-Cartier,CA,50.0334,-66.8654,23.0,68,23,2.3,few clouds
268,Roma,US,43.2128,-75.4557,26.6,74,90,12.66,light snow
269,Macherla,IN,16.4833,79.4333,64.76,86,58,3.58,broken clouds
270,Nizhniy Baskunchak,RU,48.2198,46.8311,14.45,77,0,13.02,clear sky
271,Maxixe,MZ,-23.8597,35.3472,78.08,87,100,7.45,overcast clouds
272,Ranong,TH,9.9658,98.6348,74.26,88,15,3.67,few clouds
273,Puerto Baquerizo Moreno,EC,-0.9,-89.6,82.4,83,75,16.11,light rain
274,Madera,US,37.1666,-119.8343,64.0,54,0,1.99,clear sky
275,Porto Santo,PT,33.072,-16.3415,62.6,77,75,16.11,broken clouds
276,Evensk,RU,61.95,159.2333,15.35,90,100,33.76,light snow
277,Cairns,AU,-16.9167,145.7667,81.0,89,95,3.44,overcast clouds
278,Chokurdakh,RU,70.6333,147.9167,-17.57,87,100,9.42,overcast clouds
279,Port Augusta,AU,-32.5,137.7667,62.6,72,0,9.22,clear sky
280,Port Hardy,CA,50.6996,-127.4199,39.2,87,75,9.22,light rain
281,Mehamn,NO,71.0357,27.8492,24.8,74,40,25.32,light snow
282,North Bend,US,43.4065,-124.2243,51.8,62,20,11.5,few clouds
283,Walvis Bay,NA,-22.9575,14.5053,64.99,77,1,11.5,clear sky
284,Rio Grande,BR,-32.035,-52.0986,75.0,68,0,9.62,clear sky
285,Harper,LR,4.375,-7.7169,79.47,87,99,8.08,overcast clouds
286,Saurimo,AO,-9.6608,20.3916,66.63,94,100,4.97,overcast clouds
287,Jalu,LY,29.0331,21.5482,66.4,26,98,15.3,overcast clouds
288,Ostrovnoy,RU,68.0531,39.5131,4.21,92,76,15.73,broken clouds
289,Buchanan,LR,5.8808,-10.0467,77.0,94,20,7.54,few clouds
290,Praia,CV,14.9215,-23.5087,68.0,68,40,19.57,scattered clouds
291,Krivosheino,RU,57.3431,83.9261,11.68,94,100,12.37,overcast clouds
292,Champerico,GT,14.3,-91.9167,93.2,43,40,6.91,scattered clouds
293,Bathsheba,BB,13.2167,-59.5167,80.6,61,20,19.57,few clouds
294,Conde,BR,-7.2597,-34.9075,82.4,78,75,9.22,broken clouds
295,Fort Frances,CA,48.5999,-93.4003,-11.0,44,1,10.36,clear sky
296,Shunyi,CN,40.125,116.6453,28.99,57,0,2.24,clear sky
297,Sudak,UA,44.85,34.9667,35.04,87,100,9.73,overcast clouds
298,Henties Bay,NA,-22.116,14.2845,64.99,86,99,5.01,overcast clouds
299,Camacha,PT,33.0833,-16.3333,62.6,77,75,16.11,broken clouds
300,Fort Nelson,CA,58.8053,-122.7002,-14.8,70,75,11.5,snow
301,Colchester,GB,51.8892,0.9042,28.99,100,99,1.01,light snow
302,Cururupu,BR,-1.8283,-44.8683,76.75,90,4,3.42,clear sky
303,Yantzaza,EC,-3.8278,-78.7594,82.63,57,42,3.74,light rain
304,Moron,AR,-34.6534,-58.6198,91.0,31,0,4.0,clear sky
305,Bose,IT,45.4612,8.0137,44.01,98,100,3.53,light rain
306,Shenjiamen,CN,29.9576,122.298,48.83,84,100,18.75,overcast clouds
307,Takhtamygda,RU,54.1,123.5667,-20.78,83,0,1.77,clear sky
308,Phek,IN,25.6667,94.5,36.82,100,11,1.14,few clouds
309,Barranquilla,CO,10.9639,-74.7964,86.0,62,20,12.66,few clouds
310,Salalah,OM,17.0151,54.0924,73.4,68,75,4.61,broken clouds
311,Port Lincoln,AU,-34.7333,135.8667,61.14,76,78,15.97,broken clouds
312,Maloy,NO,61.9353,5.1136,25.0,58,0,8.05,clear sky
313,Chumikan,RU,54.7183,135.315,-6.95,83,100,26.98,overcast clouds
314,Inuvik,CA,68.3499,-133.7218,-20.2,76,100,12.66,overcast clouds
315,Khani,GE,41.9563,42.9566,44.6,93,75,2.3,broken clouds
316,Bambous Virieux,MU,-20.3428,57.7575,80.6,78,40,10.36,light rain
317,Mahebourg,MU,-20.4081,57.7,80.6,78,40,10.36,light rain
318,Vila Do Maio,CV,15.1333,-23.2167,68.0,68,40,19.57,scattered clouds
319,Jones,PH,16.5571,121.7029,68.47,93,30,1.59,scattered clouds
320,Porosozero,RU,62.7191,32.727,-3.86,92,49,4.16,scattered clouds
321,Goundam,ML,16.4145,-3.6708,72.34,20,100,10.6,overcast clouds
322,Sur,OM,22.5667,59.5289,64.18,72,0,4.34,clear sky
323,Douglas,US,41.3,-96.167,8.01,66,90,6.91,light snow
324,Singaraja,ID,-8.112,115.0882,76.78,81,100,3.04,overcast clouds
325,Shreveport,US,32.5251,-93.7502,51.01,66,90,9.22,overcast clouds
326,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,scattered clouds
327,Anchorage,US,61.2181,-149.9003,12.99,78,20,3.44,haze
328,Vestmanna,FO,62.1564,-7.1664,37.4,56,75,13.8,broken clouds
